spec,family,rp,out,preproc,extractor,params,spec_sim,codec,task,seed,dim,F,C,epochs,sim,weight,multi,proto_bits,quant_train,val_acc,id_acc,margin_id,geom_fid,fit_s,mem_kb,vec_bits,ops_per_query,ext_bits,ext_ops,rp_density,rp_rank,proj,acc_shift_6,margin_ood,acc_shift_12,acc_shift_18,nmi,ari,auroc
gauss|int4,linear,gaussian,bipolar,none,raw,,,int4,fine,1,1024,64,30,30,cosine,uniform,1,32,0,0.6866666674613953,0.6893333196640015,0.039852213114500046,0.9336790201664159,0.009,376.0,4.0,98304,0,0,,,gauss,,,,,,,
gauss|ternary,linear,gaussian,bipolar,none,raw,,,ternary,fine,1,1024,64,30,30,cosine,uniform,1,32,0,0.6866666674613953,0.6893333196640015,0.039852213114500046,0.9336790201664159,0.012,376.0,2.0,98304,0,0,,,gauss,,,,,,,
gauss|bipolar,linear,gaussian,bipolar,none,raw,,,bipolar,fine,1,1024,64,30,30,cosine,uniform,1,32,0,0.6866666674613953,0.6893333196640015,0.039852213114500046,0.9336790201664159,0.009,376.0,1.0,98304,0,0,,,gauss,,,,,,,
signrff|fp32,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,fp32,fine,1,1024,64,30,30,cosine,uniform,1,32,0,0.699999988079071,0.699999988079071,0.007028593681752682,0.6602771461229091,0.025,380.0,32.0,97280,0,0,,,signrff,,,,,,,
signrff|int4,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,int4,fine,1,1024,64,30,30,cosine,uniform,1,32,0,0.6991666555404663,0.7099999785423279,0.007079960312694311,0.6600306807971177,0.026,380.0,4.0,98304,0,0,,,signrff,,,,,,,
signrff|ternary,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,ternary,fine,1,1024,64,30,30,cosine,uniform,1,32,0,0.6958333253860474,0.6926666498184204,0.007114351727068424,0.6463772782638436,0.029,380.0,2.0,98304,0,0,,,signrff,,,,,,,
signrff|bipolar,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,bipolar,fine,1,1024,64,30,30,cosine,uniform,1,32,0,0.6958333253860474,0.6739999651908875,0.006012805737555027,0.6176604766627173,0.024,380.0,1.0,98304,0,0,,,signrff,,,,,,,
fpe_b1|fp32,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,fp32,fine,1,1024,64,30,30,cosine,uniform,1,32,0,0.2866666615009308,0.2666666507720947,-0.007052632048726082,-0.0018458276643222888,0.026,376.12,1.0,97280,0,0,,,fpe_b1,,,,,,,
fpe_b1|int4,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,int4,fine,1,1024,64,30,30,cosine,uniform,1,32,0,0.2866666615009308,0.2666666507720947,-0.007052632048726082,-0.0018458276643222888,0.027,376.12,4.0,98304,0,0,,,fpe_b1,,,,,,,
fpe_b1|ternary,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,ternary,fine,1,1024,64,30,30,cosine,uniform,1,32,0,0.2866666615009308,0.2666666507720947,-0.007052632048726082,-0.0018458276643222888,0.03,376.12,2.0,98304,0,0,,,fpe_b1,,,,,,,
fpe_b1|bipolar,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,bipolar,fine,1,1024,64,30,30,cosine,uniform,1,32,0,0.2866666615009308,0.2666666507720947,-0.007052632048726082,-0.0018458276643222888,0.026,376.12,1.0,98304,0,0,,,fpe_b1,,,,,,,
learned|fp32,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,fp32,fine,1,1024,64,30,30,cosine,uniform,1,32,0,0.7308333516120911,0.7453333139419556,0.08516594022512436,0.6925503263287973,0.278,376.5,1.0,97408,0,0,,,learned,,,,,,,
learned|int4,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,int4,fine,1,1024,64,30,30,cosine,uniform,1,32,0,0.7308333516120911,0.7453333139419556,0.08516594022512436,0.6925503263287973,0.268,376.5,4.0,98432,0,0,,,learned,,,,,,,
learned|ternary,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,ternary,fine,1,1024,64,30,30,cosine,uniform,1,32,0,0.7308333516120911,0.7453333139419556,0.08516594022512436,0.6925503263287973,0.268,376.5,2.0,98432,0,0,,,learned,,,,,,,
learned|bipolar,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,bipolar,fine,1,1024,64,30,30,cosine,uniform,1,32,0,0.7308333516120911,0.7453333139419556,0.08516594022512436,0.6925503263287973,0.306,376.5,1.0,98432,0,0,,,learned,,,,,,,
gauss|fp32,linear,gaussian,bipolar,none,raw,,,fp32,fine,1,4096,64,30,30,cosine,uniform,1,32,0,0.7266666889190674,0.7253333330154419,0.0467531643807888,0.9826924739446199,0.017,1504.0,1.0,389120,0,0,1.0,64.0,gauss,,,,,,,
gauss|int4,linear,gaussian,bipolar,none,raw,,,int4,fine,1,4096,64,30,30,cosine,uniform,1,32,0,0.7266666889190674,0.7253333330154419,0.0467531643807888,0.9826924739446199,0.03,1504.0,4.0,393216,0,0,,,gauss,,,,,,,
